name,os_min,os_rec,cpu_min,cpu_rec,ram_min,ram_rec,gpu_min,gpu_rec,vram_min,vram_rec,storage_min,storage_rec,release_date
Red Dead Redemption 2,Windows 10,Windows 11,Intel Core i5-2500K,Intel Core i7-4770K,8,12,NVIDIA GTX 770,NVIDIA GTX 1060,2,6,150,150,26-10-2018
Cyberpunk 2077,Windows 10,Windows 11,Intel Core i5-3570K,Intel Core i7-4790,8,16,NVIDIA GTX 780,NVIDIA GTX 1060,3,6,70,70,10-12-2020
Elden Ring,Windows 10,Windows 11,Intel Core i5-8400,Intel Core i7-8700K,12,16,NVIDIA GTX 1060,NVIDIA GTX 1070,3,8,60,60,25-02-2022
Stardew Valley,Windows 7,Windows 10,Intel Core 2 Duo,Intel i3,2,4,Intel HD 3000,NVIDIA GTX 750,1,2,1,2,26-02-2016
Minecraft,Windows 7,Windows 10,Intel i3-3210,Intel i5-4690,4,8,Intel HD 4000,NVIDIA GTX 750,1,2,1,4,18-11-2011
The Witcher 3,Windows 7,Windows 10,Intel Core i7,Intel Core i7,8,16,NVIDIA GTX 770,NVIDIA GTX 1080,3,8,136,136,19-05-2015
Baldur's Gate 3,Windows 10,Windows 11,Intel Core i7-4790,Intel Core i7-10700K,14,20,NVIDIA GTX 2060,NVIDIA RTX 3070,4,8,150,150,03-08-2023
Starfield,Windows 10,Windows 11,Intel Core i7-7700K,Intel Core i9-12900K,16,32,NVIDIA GTX 1070,NVIDIA RTX 3090,8,12,125,125,06-09-2023
Palworld,Windows 10,Windows 11,Intel Core i5-9600K,Intel Core i7-10700K,16,32,NVIDIA RTX 2070,NVIDIA RTX 3080,8,10,40,40,20-01-2024
Dragon's Dogma 2,Windows 10,Windows 11,Intel Core i7-10700,Intel Core i7-12700K,16,32,NVIDIA RTX 2080,NVIDIA RTX 3090,10,12,150,150,22-03-2024
Final Fantasy XIV,Windows 7,Windows 10,Intel Core i5-2500,Intel Core i7,8,16,NVIDIA GTX 750,NVIDIA GTX 1080,1,4,20,40,27-08-2013
Counter-Strike 2,Windows 10,Windows 11,Intel Core 2 Duo E8400,Intel Core i5-4440,2,8,NVIDIA 8600 GT,NVIDIA GTX 1050,1,3,34,34,01-09-2023
Fortnite,Windows 7,Windows 10,Intel Core i5-3570K,Intel Core i7-8700K,8,16,NVIDIA GTX 660,NVIDIA GTX 1070,2,8,250,250,25-07-2018
The Sims 4,Windows Vista,Windows 11,Intel Core 2 Duo,Intel i5,4,8,Intel HD Graphics,NVIDIA GTX 750,1,2,50,50,02-09-2014
 Grand Theft Auto V,Windows 8.1,Windows 10,Intel Core i5-3470,Intel Core i7-3770,8,16,NVIDIA GTX 660,NVIDIA GTX 1060,2,4,72,72,14-04-2015
Call of Duty: Warzone,Windows 10,Windows 11,Intel Core i5-2500K,Intel Core i7-4770,8,16,NVIDIA GTX 670,NVIDIA GTX 1650,2,4,175,175,10-03-2020
Apex Legends,Windows 7,Windows 10,Intel Core i3-6300,Intel i5-3570K,6,8,NVIDIA GTX 640,NVIDIA GTX 1060,1,4,56,56,04-02-2019
League of Legends,Windows 7,Windows 10,Intel Core 2 Duo,Intel i3,2,4,Intel HD 3000,NVIDIA GTX 650,1,2,16,16,27-10-2009
Valorant,Windows 7,Windows 10,Intel Core 2 Duo E8400,Intel i3-4150,4,8,Intel HD 4000,NVIDIA GTX 650,1,2,8,8,02-06-2020
Overwatch 2,Windows 10,Windows 11,Intel Core i5-3570K,Intel Core i7-4770,8,16,NVIDIA GTX 660,NVIDIA GTX 1060,2,4,50,50,04-10-2022
World of Warcraft,Windows 7,Windows 10,Intel Core i5-3450,Intel i7-4770,4,8,NVIDIA GTX 650,NVIDIA GTX 960,1,2,100,100,23-11-2004
Diablo IV,Windows 10,Windows 11,Intel Core i5-9600K,Intel Core i7-10700K,16,32,NVIDIA RTX 2060,NVIDIA RTX 3070,4,8,100,100,06-06-2023
Hogwarts Legacy,Windows 10,Windows 11,Intel Core i5-6600,Intel Core i7-8700,16,32,NVIDIA GTX 960,NVIDIA RTX 2060,4,8,85,85,10-02-2023
Resident Evil 4,Windows 10,Windows 11,Intel Core i5-4460,Intel Core i7-4770,8,16,NVIDIA GTX 960,NVIDIA GTX 1060,2,4,26,26,24-03-2023
